,,,,"lmcut",,,,,,"lsudA",,,,,,"HHH 10K",,,,,,,"HHH 100K",,,,,,,"blind",,,,,,,"h_max",,,,,,,"hsp_f",,,,,"Gamer",
"airport-ipc4","p09_airport2_p4.pddl",71,71,71,5514,16204,29001," 39.23s"," 39.28s",71,71,"40.19s","40.01s",9699,41526,71,14,152408,176176,571552," 4.01s"," 67.98s",71,44,89525,113025,346124," 2.71s"," 476.51s",71,1,175962,177377,638373," 1.99s"," 2s",71,20,56484,97728,241313," 7.61s"," 7.62s",71,67,12956,993.06,993.07," ",
"airport-ipc4","p10_airport3_p1.pddl",18,18,18,19,21,20," 0s"," 0.01s",18,18,"0.02s","0s",19,20,18,18,19,21,20," 0s"," 0.01s",18,18,19,21,20," 0s"," 0s",18,1,21,23,22," 0s"," 0s",18,18,19,21,20," 0s"," 0s",18,18,19,2.45,2.45,18,0.53
"airport-ipc4","p11_airport3_p1.pddl",21,21,21,22,29,28," 0.01s"," 0.02s",21,21,"0.03s","0s",23,28,21,21,22,29,28," 0s"," 0.02s",21,21,22,29,28," 0s"," 0.01s",21,1,31,32,34," 0s"," 0s",21,20,22,29,28," 0s"," 0.01s",21,21,22,65.36,65.36,21,0.79
"airport-ipc4","p12_airport3_p2.pddl",39,39,39,40,70,69," 0.11s"," 0.13s",39,39,"0.12s","0.05s",59,89,39,39,40,70,69," 0s"," 0.23s",39,39,40,70,69," 0s"," 0.23s",39,1,895,918,1800," 0.01s"," 0.01s",39,20,392,596,955," 0.02s"," 0.03s",39,39,40,169.01,169.02,39,2.58
"airport-ipc4","p13_airport3_p2.pddl",37,37,37,54,133,147," 0.12s"," 0.14s",37,37,"0.14s","0.08s",64,154,37,37,38,94,93," 0s"," 0.22s",37,37,38,94,93," 0s"," 0.23s",37,1,843,867,1687," 0.01s"," 0.01s",37,18,342,513,829," 0.02s"," 0.03s",37,37,38,134.86,134.87,37,2.5
"airport-ipc4","p14_airport3_p3.pddl",60,60,60,61,214,213," 0.46s"," 0.5s",60,60,"0.37s","0.22s",81,271,60,7,30637,36075,94763," 0.68s"," 49.87s",60,45,8968,11146,29298," 0.28s"," 250.81s",60,1,35571,36362,105251," 0.31s"," 0.32s",60,20,9196,16004,32666," 1.1s"," 1.11s",60,60,62,714.75,714.76," ",
"airport-ipc4","p15_airport3_p3.pddl",58,58,58,75,244,258," 0.46s"," 0.51s",58,58,"0.96s","0.81s",443,1043,58,6,28658,34137,88918," 0.62s"," 48.18s",58,45,8931,10928,29335," 0.3s"," 289.22s",58,1,33991,34720,100505," 0.29s"," 0.3s",58,20,8200,14400,29339," 1s"," 1.01s",58,58,59,647.05,647.05," ",
"airport-ipc4","p16_airport3_p4.pddl",79,79,79,358,1309,1711," 2.61s"," 2.68s",79,79,"4.59s","4.32s",1038,3863,79,5,1031524,1258683,4124820," 31.13s"," 204.9s",79,61,305340,380179,1270354," 10.15s"," 1072.62s",79,1,1249461,1271618,4789584," 16.12s"," 16.14s",79,20,221993,453278,1046984," 49.01s"," 49.03s",79,76,10272,2167.86,2167.87," ",
"airport-ipc4","p17_airport3_p5.pddl",88,88,88,4287,23371,32405," 74.75s"," 74.85s",88,88,"104.4s","104.03s",12389,70213," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",,88,20,1043661,2232325,5710340," 310.86s"," 310.89s"," ",,,,," ",
"airport-ipc4","p18_airport3_p6.pddl",,107,107,28025,135432,222500," 615.94s"," 616.06s",107,107,"846.76s","846.2s",65097,414764," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p19_airport3_p6.pddl",90,90,90,367,1868,2397," 7.35s"," 7.45s",90,90,"18.57s","18.2s",2443,11538," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",,90,21,831632,1777652,4932429," 253.18s"," 253.21s"," ",,,,," ",
"airport-ipc4","p20_airport3_p7.pddl",,115,115,3071,15831,22789," 68.86s"," 69.01s",115,115,"114.31s","113.58s",7898,44705," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p21_airport4halfmuc_p2.pddl",101,101,101,102,168,167," 2.98s"," 3.19s",101,101,"2.26s","0.85s",151,220,101,3,7326,9503,16548," 1.1s"," 388.42s",101,101,102,168,167," 0.03s"," 11.61s",101,1,19087,19650,39079," 0.32s"," 0.36s",101,52,3184,4198,7315," 1.06s"," 1.12s"," ",,,,," ",
"airport-ipc4","p22_airport4halfmuc_p3.pddl",148,148,148,149,313,312," 11.82s"," 12.15s",148,148,"4.71s","2.11s",149,312," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",,148,52,159967,246861,560400," 105.2s"," 105.29s"," ",,,,," ",
"airport-ipc4","p23_airport4halfmuc_p4.pddl",168,168,168,169,409,408," 22.91s"," 23.39s",168,168,"560.6s","556.46s",19128,60537," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p24_airport4halfmuc_p4.pddl",162,162,162,163,808,807," 26.22s"," 26.74s",162,162,"1364.64s","1359.09s",47574,158816," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p25_airport4halfmuc_p5.pddl",212,212,212,213,922,921," 62.39s"," 63.11s",,212,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p26_airport4halfmuc_p6.pddl",220,220,220,221,876,875," 84.01s"," 84.96s",,220,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p27_airport4halfmuc_p6.pddl",246,246,246,247,1927,1926," 126.34s"," 127.36s",,246,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p28_airport4halfmuc_p7.pddl",294,294,294,295,2200,2199," 233.46s"," 234.76s",,294,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p29_airport4halfmuc_p8.pddl",308,308,308,309,2116,2115," 314.83s"," 316.39s",,308,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p30_airport4halfmuc_p8.pddl",310,310,310,311,3535,3534," 349.48s"," 351.13s",,310,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p31_airport4halfmuc_p9.pddl",358,358,358,359,3491,3490," 564.28s"," 566.3s",,358,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p32_airport4halfmuc_p10.pddl",390,390,390,391,3569,3568," 809.64s"," 812.05s",,390,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p33_airport4halfmuc_p10.pddl",393,393,393,394,4340,4339," 845.28s"," 847.74s",,393,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p34_airport4halfmuc_p11.pddl",427,427,427,428,4782,4781," 1169.85s"," 1172.77s",,427,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p35_airport4halfmuc_p12.pddl",433,433,433,434,5448,5447," 1367.09s"," 1370.46s",,433,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p36_airport5muc_p2.pddl",109,109,109,110,198,197," 4.95s"," 5.24s",,97,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p37_airport5muc_p3.pddl",142,142,141,7802,34407,46772," 991.35s"," 991.87s",,125,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p38_airport5muc_p3.pddl",155,155,154,9016,37235,51853," 1246.15s"," 1246.65s",,132,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p39_airport5muc_p4.pddl",," "," "," "," "," "," ",,,176,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p40_airport5muc_p4.pddl",," "," "," "," "," "," ",,,170,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p41_airport5muc_p4.pddl",," "," "," "," "," "," ",,,154,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p42_airport5muc_p5.pddl",," "," "," "," "," "," ",,,221,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p43_airport5muc_p5.pddl",," "," "," "," "," "," ",,,191,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p44_airport5muc_p5.pddl",," "," "," "," "," "," ",,,207,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p45_airport5muc_p6.pddl",," "," "," "," "," "," ",,,227,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p46_airport5muc_p6.pddl",," "," "," "," "," "," ",,,242,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p47_airport5muc_p8.pddl",," "," "," "," "," "," ",,,315,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p48_airport5muc_p9.pddl",," "," "," "," "," "," ",,,367,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p49_airport5muc_p10.pddl",," "," "," "," "," "," ",,,405,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"airport-ipc4","p50_airport5muc_p15.pddl",," "," "," "," "," "," ",,,601,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"blocks-aips2000","probBLOCKS-04-0.pddl",6,6,6,9,20,26," 0s"," 0s",6,6,"0s","0s",15,42,6,6,7,14,18," 0s"," 0.03s",6,6,7,14,18," 0s"," 0.03s",6,1,93,116,230," 0s"," 0s",6,2,25,53,75," 0s"," 0s",6,6,7,0.36,0.36,6,0.25
"blocks-aips2000","probBLOCKS-04-1.pddl",10,10,6,11,17,25," 0s"," 0s",10,6,"0s","0s",13,30,10,10,11,17,25," 0s"," 0.04s",10,10,11,17,25," 0s"," 0.03s",10,1,66,91,173," 0s"," 0s",10,5,23,40,62," 0s"," 0s",10,10,11,0.39,0.39,10,0.27
"blocks-aips2000","probBLOCKS-04-2.pddl",6,6,6,7,13,17," 0s"," 0s",6,6,"0s","0s",7,17,6,6,7,13,17," 0s"," 0.04s",6,6,7,13,17," 0s"," 0.03s",6,1,63,90,168," 0s"," 0s",6,3,18,36,52," 0s"," 0s",6,6,7,0.38,0.38,6,0.24
"blocks-aips2000","probBLOCKS-05-0.pddl",12,12,8,19,31,47," 0s"," 0s",12,8,"0s","0s",31,90,12,12,13,23,33," 0s"," 0.3s",12,12,13,23,33," 0s"," 0.96s",12,1,467,594,1307," 0s"," 0s",12,5,145,262,471," 0s"," 0s",12,11,13,1.32,1.32,12,0.28
"blocks-aips2000","probBLOCKS-05-1.pddl",10,10,7,20,43,61," 0s"," 0s",10,7,"0s","0s",31,94,10,10,11,26,34," 0s"," 0.29s",10,10,11,26,34," 0s"," 0.96s",10,1,567,718,1596," 0s"," 0s",10,4,135,249,443," 0s"," 0s",10,10,11,1.36,1.36,10,0.27
"blocks-aips2000","probBLOCKS-05-2.pddl",16,16,9,44,88,134," 0.01s"," 0.01s",16,9,"0.01s","0.01s",87,266,16,16,17,38,52," 0s"," 0.29s",16,16,17,38,52," 0s"," 0.95s",16,1,792,859,2008," 0s"," 0s",16,6,297,462,923," 0s"," 0s",16,12,17,1.49,1.49,16,0.28
"blocks-aips2000","probBLOCKS-06-0.pddl",12,12,11,18,35,50," 0s"," 0s",12,11,"0s","0s",22,58,12,12,13,26,36," 0s"," 0.95s",12,12,13,26,36," 0.01s"," 8.56s",12,1,1826,2847,6183," 0s"," 0s",12,4,276,591,1026," 0s"," 0s",12,12,13,4.1,4.1,12,0.32
"blocks-aips2000","probBLOCKS-06-1.pddl",10,10,10,15,47,59," 0.01s"," 0.01s",10,10,"0.01s","0.01s",39,144,10,10,11,31,39," 0s"," 0.9s",10,10,11,31,39," 0s"," 8.34s",10,1,4887,6110,14906," 0.01s"," 0.01s",10,3,755,1517,2977," 0.01s"," 0.01s",10,10,11,4.17,4.17,10,0.35
"blocks-aips2000","probBLOCKS-06-2.pddl",20,20,11,222,466,777," 0.07s"," 0.07s",20,11,"0.21s","0.21s",933,2996,20,15,733,1283,2394," 0s"," 0.87s",20,19,85,200,303," 0s"," 8.84s",20,1,6385,6754,17576," 0.02s"," 0.02s",20,7,2556,3691,8438," 0.03s"," 0.03s",20,14,31,4.29,4.29,20,0.35
"blocks-aips2000","probBLOCKS-07-0.pddl",20,20,13,60,141,210," 0.03s"," 0.03s",20,13,"0.08s","0.08s",240,835,20,15,577,1285,2172," 0s"," 1.93s",20,18,144,344,517," 0s"," 23.32s",20,1,37157,47304,124713," 0.14s"," 0.14s",20,8,5943,11090,24027," 0.11s"," 0.11s",20,16,22,11.47,11.47,20,0.36
"blocks-aips2000","probBLOCKS-07-1.pddl",22,22,12,1039,2321,4001," 0.51s"," 0.51s",22,12,"2.44s","2.44s",9032,31747,22,14,10071,17091,36269," 0.05s"," 1.7s",22,17,1835,3755,6527," 0.01s"," 21.05s",22,1,63376,64689,182662," 0.21s"," 0.21s",22,6,33194,41988,112550," 0.46s"," 0.46s",22,16,174,11.25,11.25,22,0.38
"blocks-aips2000","probBLOCKS-07-2.pddl",20,20,12,186,393,644," 0.09s"," 0.09s",20,12,"0.41s","0.41s",1453,5473,20,12,1855,4050,7147," 0.01s"," 1.59s",20,16,782,1683,2836," 0.01s"," 20.37s",20,1,55218,59423,166571," 0.19s"," 0.19s",20,6,18293,27435,66852," 0.29s"," 0.29s",20,12,90,10.99,10.99,20,0.37
"blocks-aips2000","probBLOCKS-08-0.pddl",18,18,13,148,403,614," 0.12s"," 0.12s",18,13,"0.29s","0.28s",827,3491,18,14,5557,12271,23125," 0.03s"," 3.67s",18,16,678,1817,2926," 0.01s"," 36.8s",18,1,519107,598645,1740437," 2.28s"," 2.28s",18,4,94671,160397,392071," 2.07s"," 2.07s",18,16,25,26,26,18,0.44
"blocks-aips2000","probBLOCKS-08-1.pddl",20,20,13,1032,2405,4223," 0.74s"," 0.74s",20,13,"1.92s","1.91s",5647,23137,20,12,45711,86164,184696," 0.28s"," 3.88s",20,16,11827,25207,48101," 0.11s"," 33.49s",20,1,636498,672923,2004452," 2.6s"," 2.6s",20,5,199901,289727,778340," 3.85s"," 3.85s",20,16,151,26.58,26.58,20,0.46
"blocks-aips2000","probBLOCKS-08-2.pddl",16,16,14,57,166,234," 0.04s"," 0.04s",16,14,"0.08s","0.07s",219,867,16,14,277,827,1211," 0s"," 3.63s",16,16,54,224,277," 0.01s"," 32.53s",16,1,433144,538263,1523880," 1.93s"," 1.93s",16,5,52717,102371,233644," 1.3s"," 1.3s",16,15,17,25.85,25.85,16,0.43
"blocks-aips2000","probBLOCKS-09-0.pddl",30,30,16,13162,30989,58637," 13.62s"," 13.65s",30,16,"132.87s","132.86s",260857,1138104,30,12,1233374,2054502,5146904," 8.47s"," 16s",30,16,971409,1689824,4126428," 7.38s"," 77.74s",30,1,7984649,8129512,25773822," 36.76s"," 36.76s",30,9,3840589,4875257,14863819," 85s"," 85s",30,20,464,56.76,56.76,30,0.72
"blocks-aips2000","probBLOCKS-09-1.pddl",28,28,16,347,782,1309," 0.34s"," 0.37s",28,16,"7.93s","7.92s",14852,65551,28,13,95068,227445,424693," 0.74s"," 7.35s",28,16,58873,146886,267282," 0.49s"," 63.15s",28,1,5914572,6796025,21074648," 29.73s"," 29.73s",28,10,1200345,1912835,5224289," 32.05s"," 32.06s",28,20,82,56.98,56.98,28,0.6
"blocks-aips2000","probBLOCKS-09-2.pddl",26,26,17,598,1618,2519," 0.64s"," 0.67s",26,17,"3.4s","3.39s",6581,28132,26,14,161719,348212,735852," 1.22s"," 13.54s",26,17,20050,51658,90119," 0.16s"," 82.45s",26,1,5963160,6846763,21210152," 30.02s"," 30.02s",26,9,1211463,1918982,5252151," 32.15s"," 32.15s",26,20,81,57.02,57.02,26,0.6
"blocks-aips2000","probBLOCKS-10-0.pddl",34,34,18,239854,584700,1171693," 316.83s"," 316.84s",,18,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",9," "," "," "," ",,34,22,1800,114.26,114.26,34,1.25
"blocks-aips2000","probBLOCKS-10-1.pddl",32,32,19,28989,76793,136963," 43.74s"," 43.75s",32,19,"919.68s","919.66s",1393515,6279279," "," "," "," "," "," ",,32,16,12063665,20728038,53127338," 93.65s"," 228.76s"," "," "," "," "," "," ",," ",8," "," "," "," ",,32,22,1835,115.19,115.19,32,1.3
"blocks-aips2000","probBLOCKS-10-2.pddl",34,34,19,82883,232720,416864," 131.3s"," 131.31s",,19,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",10," "," "," "," ",,34,22,3685,116.75,116.75,34,1.52
"blocks-aips2000","probBLOCKS-11-0.pddl",32,32,19,63891,168711,309611," 110.44s"," 110.45s",,19,,,,," "," "," "," "," "," ",,32,21,7046739,18757083,38543847," 81.26s"," 141.44s"," "," "," "," "," "," ",," ",8," "," "," "," ",,32,24,2678,213.32,213.32,32,2.3
"blocks-aips2000","probBLOCKS-11-1.pddl",30,30,21,59335,176568,307410," 120.91s"," 120.92s",,21,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",4," "," "," "," ",,30,24,1510,203.79,203.79,30,3.49
"blocks-aips2000","probBLOCKS-11-2.pddl",34,34,19,53638,133028,251615," 91.87s"," 91.88s",,19,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",9," "," "," "," ",,34,24,3984,213.97,213.97,34,2.27
"blocks-aips2000","probBLOCKS-12-0.pddl",34,34,22,58123,163535,290782," 133.33s"," 133.34s",,22,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",10," "," "," "," ",,34,26,1184,370.06,370.06,34,3.47
"blocks-aips2000","probBLOCKS-12-1.pddl",34,34,22,6284,17163,28777," 14.19s"," 14.2s",34,22,"250.78s","250.76s",272199,1399290," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",11," "," "," "," ",,34,25,614,382.33,382.34,34,1.91
"blocks-aips2000","probBLOCKS-13-0.pddl",42," "," "," "," "," "," ",,,24,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",10," "," "," "," ",,42,28,83996,860.45,860.45,42,41.35
"blocks-aips2000","probBLOCKS-13-1.pddl",44," "," "," "," "," "," ",,,25,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",12," "," "," "," ",,44,28,163438,1104.27,1104.27,44,65.05
"blocks-aips2000","probBLOCKS-14-0.pddl",38,38,25,100500,307312,531590," 388.28s"," 388.3s",,25,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",10," "," "," "," ",,38,30,2779,1063.02,1063.02,38,18.18
"blocks-aips2000","probBLOCKS-14-1.pddl",36,36,27,160350,556563,941762," 762.74s"," 762.76s",,27,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",6," "," "," "," ",,36,29,7154,1087.4,1087.4,36,79.97
"blocks-aips2000","probBLOCKS-15-0.pddl",," "," "," "," "," "," ",,,28,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",7," "," "," "," ",," ",,,,," ",
"blocks-aips2000","probBLOCKS-15-1.pddl",," "," "," "," "," "," ",,,28,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",14," "," "," "," ",," ",,,,," ",
"blocks-aips2000","probBLOCKS-16-1.pddl",," "," "," "," "," "," ",,,31,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",13," "," "," "," ",," ",,,,," ",
"blocks-aips2000","probBLOCKS-16-2.pddl",," "," "," "," "," "," ",,,28,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",15," "," "," "," ",," ",,,,," ",
"blocks-aips2000","probBLOCKS-17-0.pddl",," "," "," "," "," "," ",,,33,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",7," "," "," "," ",," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"depots-ipc3","pfile01.pddl",10,10,10,11,51,63," 0s"," 0s",10,9,"0.02s","0.01s",31,192,10,10,11,51,63," 0s"," 0s",10,10,11,51,63," 0s"," 0s",10,1,329,421,2053," 0s"," 0s",10,4,136,226,865," 0s"," 0s",10,8,45,0.77,0.77,10,0.37
"depots-ipc3","pfile02.pddl",15,15,14,28,138,204," 0.04s"," 0.05s",15,11,"0.21s","0.18s",614,4840,15,11,738,1905,5729," 0.01s"," 3.24s",15,15,16,97,116," 0s"," 1.14s",15,1,15404,20265,117095," 0.11s"," 0.11s",15,5,3771,6228,29181," 0.17s"," 0.17s",15,8,898,11.56,11.56,15,0.77
"depots-ipc3","pfile03.pddl",27,27,20,4353,13544,37495," 11.51s"," 11.53s",27,17,"52.43s","52.38s",72979,623481,27,12,348288,618321,2935929," 4.31s"," 20.69s",27,13,239313,428912,2019035," 3.72s"," 222.35s",27,1,2930398,3260824,23693840," 27.2s"," 27.2s",27,5,1204646,1641538,10167207," 97.61s"," 97.62s",27,14,103089,247.13,247.14,27,59.53
"depots-ipc3","pfile04.pddl",30,30,17,117627,304402,1084975," 353.02s"," 353.06s",30,17,"1061.04s","1060.92s",1041194,9491796,30,13,1284048,2641331,11468049," 19.24s"," 52.05s",30,16,1273762,2621228,11381308," 22.26s"," 529.34s"," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile05.pddl",," "," "," "," "," "," ",,,26,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile06.pddl",," "," "," "," "," "," ",,,31,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
