Domain, Problem,h*, lsud,hLA, lsuda, lsd, lsda,h+,coles-etal,add_h_max (aaai05),h_max
Airport,P36_AIRPORT5MUC_P2.PDDL,,85,97, You bet!, You bet!, You bet!,109,108,,59
Airport,P37_AIRPORT5MUC_P3.PDDL,,106,125, You bet!, You bet!, You bet!,141,139,,59
Airport,P38_AIRPORT5MUC_P3.PDDL,,115,132, You bet!, You bet!, You bet!,154,152,,59
Airport,P39_AIRPORT5MUC_P4.PDDL,,149,176, You bet!, You bet!, You bet!,208,205,,66
Airport,P40_AIRPORT5MUC_P4.PDDL,,147,170, You bet!, You bet!, You bet!,190,187,,59
Airport,P41_AIRPORT5MUC_P4.PDDL,,134,154, You bet!, You bet!, You bet!,178,162,,59
Airport,P42_AIRPORT5MUC_P5.PDDL,,190,221, You bet!, You bet!, You bet!,fail,253,,66
Airport,P43_AIRPORT5MUC_P5.PDDL,,166,191, You bet!, You bet!, You bet!,223,204,,59
Airport,P44_AIRPORT5MUC_P5.PDDL,,181,207, You bet!, You bet!, You bet!,227,208,,66
Airport,P45_AIRPORT5MUC_P6.PDDL,,198,227, You bet!, You bet!, You bet!,249,221,,66
Airport,P46_AIRPORT5MUC_P6.PDDL,,208,242, You bet!, You bet!, You bet!,fail,271,,66
Airport,P47_AIRPORT5MUC_P8.PDDL,,271,315, You bet!, You bet!, You bet!,fail,325,,66
Airport,P48_AIRPORT5MUC_P9.PDDL,,312,367, You bet!, You bet!, You bet!,fail,401,,66
Airport,P49_AIRPORT5MUC_P10.PDDL,,347,405, You bet!, You bet!, You bet!,fail,,,66
Airport,P50_AIRPORT5MUC_P15.PDDL,,501,601, You bet!, You bet!, You bet!,fail,,,66

Blocks, probBLOCKS-4-0.pddl,6,6,6,5,6,6,6,6,6,2
Blocks, probBLOCKS-4-1.pddl,10,5,6,4,6,6,6,6,6,5
Blocks, probBLOCKS-4-2.pddl,6,6,6,5,6,6,6,6,6,3
Blocks, probBLOCKS-5-0.pddl,12,7,8,5,8,8,8,8,8,5
Blocks, probBLOCKS-5-1.pddl,10,6,7,5,7,7,7,7,7,4
Blocks, probBLOCKS-5-2.pddl,16,8,9,6,9,9,9,9,9,6
Blocks, probBLOCKS-6-0.pddl,12,9,11,7,11,11,11,11,11,4
Blocks, probBLOCKS-6-1.pddl,10,10,10,7,10,10,10,10,10,3
Blocks, probBLOCKS-6-2.pddl,20,9,11,7,11,11,11,11,11,7
Blocks, probBLOCKS-7-0.pddl,20,10,13,8,13,13,13,13,13,8
Blocks, probBLOCKS-7-1.pddl,22,10,12,8,12,12,12,12,11,6
Blocks, probBLOCKS-7-2.pddl,20,11,12,8,12,12,12,12,12,6
Blocks, probBLOCKS-8-0.pddl,18,11,13,9,13,13,13,13,13,4
Blocks, probBLOCKS-8-1.pddl,20,12,13,8,13,13,13,13,13,5
Blocks, probBLOCKS-8-2.pddl,16,13,14,10,14,14,14,14,14,5
Blocks, probBLOCKS-9-0.pddl,30,14,16,11,16,16,16,16,16,9
Blocks, probBLOCKS-9-1.pddl,28,13,16,10,16,16,16,16,16,10
Blocks, probBLOCKS-9-2.pddl,26,14,17,11,17,17,17,17,17,9
Blocks, probBLOCKS-10-0.pddl,34,15,18,12,18,18,18,18,18,9
Blocks, probBLOCKS-10-1.pddl,32,16,19,13,19,19,19,19,18,8
Blocks, probBLOCKS-10-2.pddl,34,16,19,12,19,19,19,19,19,10
Blocks, probBLOCKS-11-0.pddl,32,16,19,13,19,19,19,8,19,8
Blocks, probBLOCKS-11-1.pddl,,18,21,15,21,21,21,4,20,4
Blocks, probBLOCKS-11-2.pddl,,16,19,13,19,19,19,9,17,9
Blocks, probBLOCKS-12-0.pddl,,19,22,15,22,22,22,10,21,10
Blocks, probBLOCKS-12-1.pddl,34,18,22,15,22,22,22,11,22,11
Blocks, probBLOCKS-13-0.pddl,,20,24,16,24,24,24,11,23,10
Blocks, probBLOCKS-13-1.pddl,,20,25,16,25,25,25,12,24,12
Blocks, probBLOCKS-14-0.pddl,,21,25,17,25,25,25,10,24,10
Blocks, probBLOCKS-14-1.pddl,,23,27,19,27,27,27,7,25,6
Blocks, probBLOCKS-15-0.pddl,,24,28,20,28,28,28,7,26,7
Blocks, probBLOCKS-15-1.pddl,,23,28,18,28,28,28,14,28,14
Blocks, probBLOCKS-16-1.pddl,,25,31,20,31,31,31,13,30,13
Blocks, probBLOCKS-16-2.pddl,,23,28,18,28,28,28,15,28,15
Blocks, probBLOCKS-17-0.pddl,,28,33,22,33,33,33,33,29,7

Depots, pfile1.pddl,10,9,9,9,9,9,10,9,7,4
Depots, pfile2.pddl,15,11,11,10,11,11,14,11,13,5
Depots, pfile3.pddl,27,16,17,14,17,17,22,17,16,5
Depots, pfile4.pddl,30,16,17,14,17,17,17,16,16,5
Depots, pfile5.pddl,,23,26,20,26,26,fail,26,24,6
Depots, pfile6.pddl,,27,31,23,31,31,fail,30,,9
Depots, pfile7.pddl,21,15,15,13,15,15,18,15,14,4
Depots, pfile8.pddl,,26,27,23,27,27,27,25,23,4
Depots, pfile9.pddl,,32,36,27,36,36,fail,34,33,8
Depots, pfile10.pddl,24,18,19,17,18,19,22,16,12,5
Depots, pfile11.pddl,,27,31,26,29,31,fail,29,28,7
Depots, pfile12.pddl,,34,39,32,38,39,fail,36,,10
Depots, pfile13.pddl,25,22,23,22,23,23,24,21,19,6
Depots, pfile14.pddl,,18,20,18,19,20,23,17,15,5
Depots, pfile15.pddl,,34,37,29,37,37,fail,35,33,6
Depots, pfile16.pddl,,20,20,19,20,20,fail,19,8,5
Depots,pfile17.pddl,,17,17,17,17,17,fail,19,19,5
Depots,pfile18.pddl,,40,40,39,43,43,fail,42,38,5
Depots,pfile19.pddl,,26,27,23,26,27,fail,23,12,5
Depots,pfile20.pddl,,39,44,36,41,44,fail,40,41,6
Depots,pfile21.pddl,,16,17,16,16,17,32,27,13,4
Depots,pfile22.pddl,,39,44,37,40,46,fail,60,,6

Driverlog, pfile1.pddl,7,5,5,5,5,5,6,6,6,6
Driverlog, pfile2.pddl,19,12,12,12,12,12,14,12,11,4
Driverlog, pfile3.pddl,12,9,9,9,9,9,11,9,6,4
Driverlog, pfile4.pddl,16,10,10,10,10,10,12,11,11,4
Driverlog, pfile5.pddl,18,14,14,14,14,14,15,12,12,4
Driverlog, pfile6.pddl,11,8,8,8,8,8,10,8,6,3
Driverlog, pfile7.pddl,13,11,11,11,11,11,12,11,8,4
Driverlog, pfile8.pddl,22,14,14,14,14,14,15,12,14,4
Driverlog, pfile9.pddl,22,15,15,15,15,15,18,12,11,6
Driverlog, pfile10.pddl,17,13,13,13,13,13,16,13,10,4
Driverlog, pfile11.pddl,19,16,16,16,16,16,18,12,10,5
Driverlog, pfile12.pddl,,20,20,20,20,20,24,17,17,6
Driverlog, pfile13.pddl,26,19,19,19,19,19,21,15,13,5
Driverlog, pfile14.pddl,28,22,22,22,22,22,25,18,15,7
Driverlog, pfile15.pddl,32,27,27,27,27,27,fail,19,19,6
Driverlog, pfile16.pddl,,21,21,21,21,21,fail,36,29,6
Driverlog, pfile17.pddl,,24,24,24,24,24,fail,43,41,5
Driverlog, pfile18.pddl,,23,23,23,23,23,fail,45,43,5
Driverlog,pfile19.pddl,,31,31,31,31,31,fail,60,,7
Driverlog,pfile20.pddl,,30,30,30,30,30,fail,60,,7

Freecell, pfile1.pddl,8,7,7,7,8,8,8,3,8,3
Freecell, pfile2.pddl,14,10,,10,12,12,fail,9,6,5
Freecell, pfile3.pddl,18,15,,15,17,17,fail,11,8,6
Freecell, pfile4.pddl,26,20,,20,23,23,fail,17,15,8
Freecell, pfile5.pddl,30,21,,21,25,25,fail,19,13,10
Freecell, pfile6.pddl,34,28,,28,32,32,fail,23,23,10
Freecell, pfile7.pddl,41,29,,29,34,34,fail,19,13,12
Freecell, pfile8.pddl,,28,,28,35,35,fail,31,21,13
Freecell, pfile9.pddl,,30,,30,36,36,fail,22,22,12
Freecell, pfile10.pddl,,38,,38,46,46,fail,20,27,12
Freecell, pfile11.pddl,,35,,35,43,43,fail,19,27,13
Freecell, pfile12.pddl,,36,,36,42,42,fail,18,23,12
Freecell, pfile13.pddl,,39,,39,47,47,fail,23,38,15
Freecell, pfile14.pddl,,37,,37,46,46,fail,22,,14
Freecell, pfile15.pddl,,47,,47,55,55,fail,27,,15
Freecell, pfile16.pddl,,41,,41,52,52,fail,30,,14
Freecell, pfile17.pddl,,47,,47,56,56,fail,25,,16
Freecell, pfile18.pddl,,48,,48,61,61,fail,27,,17
Freecell, pfile19.pddl,,49,,49,62,62,fail,37,,19
Freecell, pfile20.pddl,,53,,53,61,61,fail,35,,19

Grid, prob01.pddl,14,9,9,9,9,9,10,9,7,9
Grid, prob02.pddl,26,14,14,14,15,15,20,14,14,12
Grid, prob03.pddl,,20,20,20,22,22,fail,10,8,9
Grid, prob04.pddl,,18,18,18,19,19,fail,9,8,8
Grid, prob05.pddl,,36,36,35,39,38,fail,20,21,20

Gripper, prob01.pddl,11,9,9,9,9,9,9,9,8,2
Gripper, prob02.pddl,17,13,13,13,13,13,13,13,12,2
Gripper, prob03.pddl,23,17,17,17,17,17,17,17,16,2
Gripper, prob04.pddl,29,21,21,21,21,21,21,21,20,2
Gripper, prob05.pddl,35,25,25,25,25,25,25,25,24,2
Gripper, prob06.pddl,41,29,29,29,29,29,29,29,28,2
Gripper, prob07.pddl,47,33,33,33,33,33,33,33,32,2
Gripper, prob08.pddl,53,37,37,37,37,37,37,37,36,2
Gripper, prob09.pddl,,41,41,41,41,41,41,41,40,2
Gripper, prob10.pddl,,45,45,45,45,45,45,45,44,2
Gripper, prob11.pddl,,49,49,49,49,49,49,49,48,2
Gripper, prob12.pddl,,53,53,53,53,53,53,53,52,2
Gripper, prob13.pddl,,57,57,57,57,57,57,57,56,2
Gripper, prob14.pddl,,61,61,61,61,61,61,61,60,2
Gripper, prob15.pddl,,65,65,65,65,65,65,65,64,2
Gripper, prob16.pddl,,69,69,69,69,69,69,69,,2
Gripper, prob17.pddl,,73,73,73,73,73,73,73,,2
Gripper, prob18.pddl,,77,77,77,77,77,77,77,,2
Gripper, prob19.pddl,,81,81,81,81,81,81,81,,2
Gripper, prob20.pddl,,85,85,85,85,85,85,85,,2

Logistics-2000, probLOGISTICS-4-0.pddl,20,19,19,19,19,19,19,19,16,6
Logistics-2000, probLOGISTICS-4-1.pddl,19,17,17,17,17,17,17,17,14,6
Logistics-2000, probLOGISTICS-4-2.pddl,15,13,13,13,13,13,13,13,12,6
Logistics-2000, probLOGISTICS-5-0.pddl,27,25,25,25,25,25,25,25,22,6
Logistics-2000, probLOGISTICS-5-1.pddl,17,15,15,15,15,15,15,15,13,6
Logistics-2000, probLOGISTICS-5-2.pddl,8,8,8,8,8,8,8,8,8,2
Logistics-2000, probLOGISTICS-6-0.pddl,25,23,23,23,23,23,23,23,21,6
Logistics-2000, probLOGISTICS-6-1.pddl,14,13,13,13,13,13,13,13,13,6
Logistics-2000, probLOGISTICS-6-2.pddl,25,23,23,23,23,23,23,23,21,6
Logistics-2000, probLOGISTICS-6-9.pddl,24,21,21,21,21,21,21,21,20,6
Logistics-2000, probLOGISTICS-7-0.pddl,36,33,33,33,33,33,33,32,29,6
Logistics-2000, probLOGISTICS-7-1.pddl,44,39,39,39,39,39,39,38,34,6
Logistics-2000, probLOGISTICS-8-0.pddl,31,29,29,29,29,29,29,28,26,6
Logistics-2000, probLOGISTICS-8-1.pddl,44,41,41,41,41,41,41,40,36,6
Logistics-2000, probLOGISTICS-9-0.pddl,36,33,33,33,33,33,33,32,31,6
Logistics-2000, probLOGISTICS-9-1.pddl,30,29,29,29,29,29,29,28,27,6
Logistics-2000, probLOGISTICS-10-0.pddl,45,41,41,41,41,41,41,39,36,6
Logistics-2000, probLOGISTICS-10-1.pddl,42,39,39,39,39,39,39,37,34,6
Logistics-2000,probLOGISTICS-11-0.pddl,48,45,45,45,45,45,45,43,41,6
Logistics-2000, probLOGISTICS-11-1.pddl,60,55,55,55,55,55,55,53,49,6
Logistics-2000, probLOGISTICS-12-0.pddl,42,39,39,39,39,39,39,37,36,6
Logistics-2000, probLOGISTICS-12-1.pddl,68,63,63,63,63,63,63,61,56,6
Logistics-2000, probLOGISTICS-13-0.pddl,,66,66,66,66,66,fail,63,59,6
Logistics-2000, probLOGISTICS-13-1.pddl,,56,56,56,56,56,57,53,50,6
Logistics-2000, probLOGISTICS-14-0.pddl,,55,55,55,55,55,55,51,49,6
Logistics-2000, probLOGISTICS-14-1.pddl,,66,66,66,66,66,67,63,60,6
Logistics-2000, probLOGISTICS-15-0.pddl,,70,70,70,70,70,71,67,63,6
Logistics-2000, probLOGISTICS-15-1.pddl,,62,62,62,62,62,fail,59,56,6

Logistics-1998, prob01.pddl,26,24,24,24,24,24,24,21,20,6
Logistics-1998, prob02.pddl,,27,27,27,27,27,28,22,19,5
Logistics-1998, prob03.pddl,,49,49,49,49,49,50,38,35,7
Logistics-1998, prob04.pddl,,39,39,39,39,39,fail,38,,7
Logistics-1998, prob05.pddl,22,21,21,21,21,21,22,16,15,4
Logistics-1998, prob06.pddl,,62,62,62,62,62,fail,45,,7
Logistics-1998, prob07.pddl,,18,18,18,18,18,29,24,21,6
Logistics-1998, prob08.pddl,,36,36,36,36,36,fail,26,,7
Logistics-1998, prob09.pddl,,70,70,70,70,70,fail,52,,7
Logistics-1998, prob10.pddl,,92,92,92,92,92,fail,77,,6
Logistics-1998, prob11.pddl,,14,14,14,14,14,fail,21,,6
Logistics-1998, prob12.pddl,,25,25,25,25,25,fail,25,,6
Logistics-1998, prob13.pddl,,46,46,46,46,46,fail,47,,7
Logistics-1998, prob14.pddl,,42,42,42,42,42,fail,65,,6
Logistics-1998, prob15.pddl,,66,66,66,66,66,fail,68,70,7
Logistics-1998, prob16.pddl,,28,28,28,28,28,fail,41,,7
Logistics-1998, prob17.pddl,,16,16,16,16,16,42,33,,6
Logistics-1998, prob18.pddl,,112,112,112,112,112,fail,120,,7
Logistics-1998, prob19.pddl,,86,86,86,86,86,fail,97,,7
Logistics-1998, prob20.pddl,,104,104,104,104,104,fail,92,,7
Logistics-1998, prob21.pddl,,69,69,69,69,69,fail,62,,7
Logistics-1998, prob22.pddl,,171,171,,,,fail,190,,7
Logistics-1998, prob23.pddl,,90,90,,,,fail,85,,6
Logistics-1998, prob24.pddl,,16,16,,,,fail,25,,7
Logistics-1998, prob25.pddl,,141,141,,,,fail,126,,7
Logistics-1998, prob26.pddl,,162,162,,,,fail,125,,6
Logistics-1998, prob27.pddl,,108,108,,,,fail,91,,7
Logistics-1998, prob28.pddl,,156,156,,,,fail,167,,7
Logistics-1998, prob29.pddl,,197,197,,,,fail,218,,7
Logistics-1998, prob30.pddl,,98,98,,,,fail,79,,7
Logistics-1998, prob31.pddl,13,12,12,,,,12,10,9,4
Logistics-1998, prob32.pddl,20,16,16,,,,18,15,15,6
Logistics-1998, prob33.pddl,27,23,23,,,,25,21,21,4
Logistics-1998, prob34.pddl,,39,39,,,,fail,31,32,6
Logistics-1998, prob35.pddl,30,29,29,,,,29,21,20,5

Mystery, prob01.pddl,5,5,5,5,5,5,5,5,4,4
Mystery, prob02.pddl,7,6,6,6,6,6,7,5,4,3
Mystery, prob03.pddl,4,4,4,4,4,4,4,4,3,3
Mystery, prob06.pddl,,2,2,2,2,2,11,6,,5
Mystery, prob09.pddl,8,6,6,6,6,6,8,5,6,4
Mystery, prob10.pddl,,1,1,1,1,1,7,4,,4
Mystery, prob11.pddl,7,6,6,6,7,7,7,7,4,4
Mystery, prob13.pddl,,9,9,9,9,9,11,7,,4
Mystery, prob14.pddl,,2,2,2,2,2,fail,6,,4
Mystery, prob15.pddl,6,1,1,1,1,1,6,4,,4
Mystery, prob17.pddl,4,1,1,1,1,1,4,3,3,3
Mystery, prob19.pddl,6,1,1,1,1,1,5,3,3,3
Mystery, prob20.pddl,7,1,1,1,1,1,7,4,4,4
Mystery, prob25.pddl,4,4,4,4,4,4,4,3,3,3
Mystery, prob26.pddl,6,2,2,2,2,2,6,4,4,4
Mystery, prob27.pddl,5,5,5,5,5,5,5,5,4,2
Mystery, prob28.pddl,7,6,6,6,7,7,7,6,6,4
Mystery, prob29.pddl,4,4,4,4,4,4,4,4,3,3
Mystery, prob30.pddl,9,2,2,2,2,2,8,6,4,3

Openstacks, p01.pddl,23,20,21,,,,21,17,12,4
Openstacks, p02.pddl,23,20,21,,,,21,17,12,4
Openstacks, p03.pddl,23,20,21,,,,21,17,12,4
Openstacks, p04.pddl,23,20,21,,,,21,17,12,4
Openstacks, p05.pddl,23,20,21,,,,21,17,12,4
Openstacks, p06.pddl,45,40,41,,,,,32,22,4
Openstacks, p07.pddl,46,40,41,,,,,32,22,4

Pathways,p01.pddl,6,1,1,1,1,1,6,4,1,4
Pathways,p02.pddl,12,2,11,11,2,11,12,8,6,6
Pathways,p03.pddl,18,3,8,8,3,8,16,9,7,6
Pathways,p04.pddl,17,4,8,8,4,8,15,11,8,7
Pathways,p05.pddl,,6,10,10,6,10,29,13,7,6
Pathways,p06.pddl,,,,,,,fail,,9, 
Pathways,p07.pddl,,,,,,,fail,,8, 
Pathways,p08.pddl,,,,,,,,,11, 
Pathways,p09.pddl,,,,,,,,,8, 
Pathways,p10.pddl,,,,,,,,,14, 
Pathways,p11.pddl,,,,,,,,,8, 
Pathways,p12.pddl,,,,,,,,,9, 
Pathways,p13.pddl,,,,,,,,,14, 
Pathways,p14.pddl,,,,,,,,,8, 
Pathways,p15.pddl,,,,,,,,,14, 
Pathways,p16.pddl,,,,,,,,,14, 
Pathways,p17.pddl,,,,,,,,,, 
Pathways,p18.pddl,,,,,,,,,10, 
Pathways,p19.pddl,,,,,,,,,, 
Pathways,p20.pddl,,,,,,,,,11, 
Pathways,p21.pddl,,,,,,,,,, 
Pathways,p22.pddl,,,,,,,,,, 
Pathways,p23.pddl,,,,,,,,,, 
Pathways,p24.pddl,,,,,,,,,14, 
Pathways,p25.pddl,,,,,,,,,, 
Pathways,p26.pddl,,,,,,,,,, 
Pathways,p27.pddl,,,,,,,,,, 
Pathways,p28.pddl,,,,,,,,,, 
Pathways,p29.pddl,,,,,,,,,, 
Pathways,p30.pddl,,,,,,,,,, 

PW-No-Tankage, p01_net1_b6_g2.pddl,5,5,5,5,5,5,5,3,0,3
PW-No-Tankage, p02_net1_b6_g4.pddl,12,5,5,5,6,6,7,3,1,3
PW-No-Tankage, p03_net1_b8_g3.pddl,8,6,6,6,6,6,7,4,2,4
PW-No-Tankage, p04_net1_b8_g5.pddl,11,6,6,6,6,6,7,4,2,4
PW-No-Tankage, p05_net1_b10_g4.pddl,8,6,6,6,7,7,7,3,2,3
PW-No-Tankage, p06_net1_b10_g6.pddl,10,8,8,8,9,9,9,3,2,3
PW-No-Tankage, p07_net1_b12_g5.pddl,8,6,6,6,7,7,8,3,2,3
PW-No-Tankage, p08_net1_b12_g7.pddl,10,8,8,8,9,9,10,3,3,3
PW-No-Tankage, p09_net1_b14_g6.pddl,13,10,10,10,10,10,13,5,4,5
PW-No-Tankage, p10_net1_b14_g8.pddl,18,14,14,14,14,14,fail,5,5,5
PW-No-Tankage, p11_net2_b10_g2.pddl,20,6,6,6,6,6,11,5,,5
PW-No-Tankage, p12_net2_b10_g4.pddl,24,7,7,7,7,7,13,6,,6
PW-No-Tankage, p13_net2_b12_g3.pddl,16,8,8,8,9,9,12,4,,4
PW-No-Tankage, p14_net2_b12_g5.pddl,30,8,8,8,9,9,fail,7,,7
PW-No-Tankage, p15_net2_b14_g4.pddl,26,8,8,8,9,9,14,6,,6
PW-No-Tankage, p16_net2_b14_g6.pddl,,12,12,12,13,13,19,6,,6
PW-No-Tankage, p17_net2_b16_g5.pddl,22,8,8,8,10,10,12,5,,5
PW-No-Tankage, p18_net2_b16_g7.pddl,,9,9,9,11,11,fail,6,,6
PW-No-Tankage, p19_net2_b18_g6.pddl,24,7,7,7,8,8,fail,5,,5
PW-No-Tankage, p20_net2_b18_g8.pddl,,9,9,9,10,10,fail,6,,6
PW-No-Tankage, p21_net3_b12_g2.pddl,14,5,5,5,6,6,9,5,,5
PW-No-Tankage, p22_net3_b12_g4.pddl,30,10,10,10,13,13,fail,9,,9
PW-No-Tankage, p23_net3_b14_g3.pddl,18,9,9,9,9,9,14,9,,6
PW-No-Tankage, p24_net3_b14_g5.pddl,24,11,11,11,12,12,fail,7,,6
PW-No-Tankage, p25_net3_b16_g5.pddl,,10,10,10,14,14,fail,8,,8
PW-No-Tankage, p26_net3_b16_g7.pddl,,13,13,13,16,16,fail,8,,8
PW-No-Tankage, p27_net3_b18_g6.pddl,,10,10,10,12,12,fail,6,,6
PW-No-Tankage, P28_NET3_B18_G7.PDDL,,14,14,14,16,16,fail,7,,6
PW-No-Tankage, P29_NET3_B20_G6.PDDL,,10,10,10,11,11,fail,8,,8
PW-No-Tankage, P30_NET3_B20_G8.PDDL,,16,16,16,19,19,fail,7,,7
PW-No-Tankage, P31_NET4_B14_G3.PDDL,,8,8,8,9,9,fail,7,6,6
PW-No-Tankage, P32_NET4_B14_G5.PDDL,,9,9,9,11,11,fail,6,6,6
PW-No-Tankage, P33_NET4_B16_G5.PDDL,,8,8,8,8,8,fail,7,6,7
PW-No-Tankage, P34_NET4_B16_G6.PDDL,,10,10,10,12,12,fail,6,2,6
PW-No-Tankage, P35_NET4_B18_G4.PDDL,,8,8,8,8,8,fail,6,7,6
PW-No-Tankage, P36_NET4_B18_G6.PDDL,,10,10,10,10,10,fail,7,7,7
PW-No-Tankage, P37_NET4_B20_G5.PDDL,,8,8,8,9,9,fail,5,6,5
PW-No-Tankage, P38_NET4_B20_G7.PDDL,,8,8,8,10,10,fail,5,5,5
PW-No-Tankage, P39_NET4_B22_G7.PDDL,,10,10,10,12,12,fail,6,7,6
PW-No-Tankage, P40_NET4_B22_G8.PDDL,,11,11,11,13,13,fail,6,7,6
PW-No-Tankage, P41_NET5_B22_G2.PDDL,,6,6,6,6,6,8,4,,4
PW-No-Tankage, P42_NET5_B22_G4.PDDL,,9,9,9,9,9,fail,9,,9
PW-No-Tankage, P43_NET5_B24_G3.PDDL,,6,6,6,6,6,fail,9,,9
PW-No-Tankage, P44_NET5_B24_G5.PDDL,,8,8,8,8,8,fail,9,,9
PW-No-Tankage, P45_NET5_B26_G4.PDDL,,9,9,9,9,9,fail,9,,9
PW-No-Tankage, P46_NET5_B26_G6.PDDL,,12,12,12,13,13,fail,9,,9
PW-No-Tankage, P47_NET5_B28_G5.PDDL,,12,12,12,13,13,fail,9,,9
PW-No-Tankage, P48_NET5_B28_G7.PDDL,,15,15,15,16,16,fail,9,,9
PW-No-Tankage, P49_NET5_B30_G6.PDDL,,10,10,10,13,13,fail,7,,7
PW-No-Tankage, P50_NET5_B30_G8.PDDL,,13,13,13,14,14,fail,10,,10

PW-Tankage, p01_net1_b6_g2_t50.pddl,5,5,5,5,5,5,5,3,3,3
PW-Tankage, p02_net1_b6_g4_t50.pddl,12,6,6,6,6,6,7,3,3,3
PW-Tankage, p03_net1_b8_g3_t80.pddl,8,6,6,6,6,6,7,4,3,4
PW-Tankage, p04_net1_b8_g5_t80.pddl,11,6,6,6,6,6,7,4,4,4
PW-Tankage, p05_net1_b10_g4_t50.pddl,8,6,6,6,7,7,7,3,3,3
PW-Tankage, p06_net1_b10_g6_t50.pddl,10,8,8,8,9,9,9,3,5,3
PW-Tankage, p07_net1_b12_g5_t80.pddl,8,6,6,6,7,7,8,3,2,3
PW-Tankage, p08_net1_b12_g7_t80.pddl,11,8,8,8,9,9,fail,3,2,3
PW-Tankage, p09_net1_b14_g6_t50.pddl,,9,9,9,11,11,fail,5,3,5
PW-Tankage, p10_net1_b14_g8_t50.pddl,,12,12,12,15,15,fail,5,8,5
PW-Tankage, p11_net2_b10_g2_t30.pddl,22,7,7,7,7,7,12,5,,5
PW-Tankage, p12_net2_b10_g4_t60.pddl,24,8,8,8,8,8,13,6,,6
PW-Tankage, p13_net2_b12_g3_t70.pddl,16,8,8,8,9,9,fail,4,,4
PW-Tankage, p14_net2_b12_g5_t30.pddl,,9,9,9,11,11,fail,7,,7
PW-Tankage, p15_net2_b14_g4_t30.pddl,30,8,8,8,9,9,fail,7,,7
PW-Tankage, p16_net2_b14_g6_t80.pddl,,12,12,12,13,13,fail,6,,6
PW-Tankage, p17_net2_b16_g5_t20.pddl,44,9,9,9,12,12,fail,5,,5
